------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| fromConceptName                                                                                  | rel                  | toConceptName                                                                                    |
| "CF4-Elements of geographic information"                                                         | "is_subconcept_of"   | "CF-Conceptual Foundations"                                                                      |
| "CF5-Relationships"                                                                              | "is_superconcept_of" | "CF5-4-Topological relationships"                                                                |
| "CF5-Relationships"                                                                              | "is_superconcept_of" | "CF5-8-Spatial integration"                                                                      |
| "CF5-Relationships"                                                                              | "is_superconcept_of" | "CF5-2-Mereology: structural relationships"                                                      |
| "CF5-Relationships"                                                                              | "is_superconcept_of" | "CF5-6-Spatial distribution"                                                                     |
| "CF5-Relationships"                                                                              | "is_superconcept_of" | "CF5-1-Categories"                                                                               |
| "CF5-Relationships"                                                                              | "is_superconcept_of" | "CF5-3-Genealogical relationships: lineage, inheritance"                                         |
| "CF5-Relationships"                                                                              | "is_superconcept_of" | "CF5-7-Region"                                                                                   |
| "CF5-Relationships"                                                                              | "is_superconcept_of" | "CF5-5-Metrical relationships: distance and direction"                                           |
| "CF5-Relationships"                                                                              | "is_subconcept_of"   | "CF-Conceptual Foundations"                                                                      |
| "CF6-Imperfections in geographic information"                                                    | "is_superconcept_of" | "CF6-2-Mathematical models of vagueness: Fuzzy sets and rough sets"                              |
| "CF6-Imperfections in geographic information"                                                    | "is_superconcept_of" | "CF6-4-Mathematical models of uncertainty: Probability and statistics"                           |
| "CF6-Imperfections in geographic information"                                                    | "is_superconcept_of" | "CF6-3-Error-based uncertainty"                                                                  |
| "CF6-Imperfections in geographic information"                                                    | "is_superconcept_of" | "CF6-1-Vagueness"                                                                                |
| "CF6-Imperfections in geographic information"                                                    | "is_subconcept_of"   | "CF-Conceptual Foundations"                                                                      |
| "CV1-1-History of cartography"                                                                   | "is_subconcept_of"   | "CV1-History and trends"                                                                         |
| "CV1-2-Technological transformations"                                                            | "is_subconcept_of"   | "CV1-History and trends"                                                                         |
| "CV2-1-Source materials for mapping"                                                             | "is_subconcept_of"   | "CV2-Data considerations"                                                                        |
| "CV2-2-Data abstraction: classification, selection, and generalization"                          | "is_subconcept_of"   | "CV2-Data considerations"                                                                        |
| "CV2-3-Projections as a map design issue"                                                        | "is_subconcept_of"   | "CV2-Data considerations"                                                                        |
| "CV3-1-Map design fundamentals"                                                                  | "is_subconcept_of"   | "CV3-Principles of map design"                                                                   |
| "CV3-2-Basic concepts of symbolization "                                                         | "is_subconcept_of"   | "CV3-Principles of map design"                                                                   |
| "CV3-3-Color for cartography and visualization"                                                  | "is_subconcept_of"   | "CV3-Principles of map design"                                                                   |
| "CV3-4-Typography for cartography and visualization"                                             | "is_subconcept_of"   | "CV3-Principles of map design"                                                                   |
| "CV4-1-Basic thematic mapping methods"                                                           | "is_subconcept_of"   | "CV4-Graphic representation techniques"                                                          |
| "CV4-2-Multivariate displays"                                                                    | "is_subconcept_of"   | "CV4-Graphic representation techniques"                                                          |
| "CV4-3-Dynamic and interactive displays"                                                         | "is_subconcept_of"   | "CV4-Graphic representation techniques"                                                          |
| "CV4-4-Representing terrain"                                                                     | "is_subconcept_of"   | "CV4-Graphic representation techniques"                                                          |
| "CV4-5-Web mapping and visualizations"                                                           | "is_subconcept_of"   | "CV4-Graphic representation techniques"                                                          |
| "CV4-6-Virtual and immersive environments"                                                       | "is_subconcept_of"   | "CV4-Graphic representation techniques"                                                          |
| "CV4-7-Spatialization"                                                                           | "is_subconcept_of"   | "CV4-Graphic representation techniques"                                                          |
| "CV4-8-Visualization of temporal geographic data"                                                | "is_subconcept_of"   | "CV4-Graphic representation techniques"                                                          |
| "CV4-9-Visualization of uncertainty"                                                             | "is_subconcept_of"   | "CV4-Graphic representation techniques"                                                          |
| "CV5-1-Computational issues in cartography and visualization"                                    | "is_subconcept_of"   | "CV5-Map production"                                                                             |
| "CV5-2-Map production"                                                                           | "is_subconcept_of"   | "CV5-Map production"                                                                             |
| "CV5-3-Map reproduction"                                                                         | "is_subconcept_of"   | "CV5-Map production"                                                                             |
| "CV6-1-The power of maps"                                                                        | "is_subconcept_of"   | "CV6-Map use and evaluation"                                                                     |
| "CV6-2-Map reading"                                                                              | "is_subconcept_of"   | "CV6-Map use and evaluation"                                                                     |
| "CV6-3-Map interpretation"                                                                       | "is_subconcept_of"   | "CV6-Map use and evaluation"                                                                     |
| "CV6-4-Map analysis "                                                                            | "is_subconcept_of"   | "CV6-Map use and evaluation"                                                                     |
| "CV6-5-Evaluation and testing"                                                                   | "is_subconcept_of"   | "CV6-Map use and evaluation"                                                                     |
| "CV6-6-Impact of uncertainty"                                                                    | "is_subconcept_of"   | "CV6-Map use and evaluation"                                                                     |
| "CV-Cartography and Visualization"                                                               | "is_superconcept_of" | "CV1-History and trends"                                                                         |
| "CV-Cartography and Visualization"                                                               | "is_superconcept_of" | "CV2-Data considerations"                                                                        |
| "CV-Cartography and Visualization"                                                               | "is_superconcept_of" | "CV3-Principles of map design"                                                                   |
| "CV-Cartography and Visualization"                                                               | "is_superconcept_of" | "CV4-Graphic representation techniques"                                                          |
| "CV-Cartography and Visualization"                                                               | "is_superconcept_of" | "CV5-Map production"                                                                             |
| "CV-Cartography and Visualization"                                                               | "is_superconcept_of" | "CV6-Map use and evaluation"                                                                     |
| "CV1-History and trends"                                                                         | "is_superconcept_of" | "CV1-2-Technological transformations"                                                            |
| "CV1-History and trends"                                                                         | "is_superconcept_of" | "CV1-1-History of cartography"                                                                   |
| "CV1-History and trends"                                                                         | "is_subconcept_of"   | "CV-Cartography and Visualization"                                                               |
| "CV2-Data considerations"                                                                        | "is_superconcept_of" | "CV2-1-Source materials for mapping"                                                             |
| "CV2-Data considerations"                                                                        | "is_superconcept_of" | "CV2-3-Projections as a map design issue"                                                        |
| "CV2-Data considerations"                                                                        | "is_superconcept_of" | "CV2-2-Data abstraction: classification, selection, and generalization"                          |
| "CV2-Data considerations"                                                                        | "is_subconcept_of"   | "CV-Cartography and Visualization"                                                               |
| "CV3-Principles of map design"                                                                   | "is_superconcept_of" | "CV3-2-Basic concepts of symbolization "                                                         |
| "CV3-Principles of map design"                                                                   | "is_superconcept_of" | "CV3-3-Color for cartography and visualization"                                                  |
| "CV3-Principles of map design"                                                                   | "is_superconcept_of" | "CV3-1-Map design fundamentals"                                                                  |
| "CV3-Principles of map design"                                                                   | "is_superconcept_of" | "CV3-4-Typography for cartography and visualization"                                             |
| "CV3-Principles of map design"                                                                   | "is_subconcept_of"   | "CV-Cartography and Visualization"                                                               |
| "CV4-Graphic representation techniques"                                                          | "is_superconcept_of" | "CV4-7-Spatialization"                                                                           |
| "CV4-Graphic representation techniques"                                                          | "is_superconcept_of" | "CV4-3-Dynamic and interactive displays"                                                         |
| "CV4-Graphic representation techniques"                                                          | "is_superconcept_of" | "CV4-9-Visualization of uncertainty"                                                             |
| "CV4-Graphic representation techniques"                                                          | "is_superconcept_of" | "CV4-5-Web mapping and visualizations"                                                           |
| "CV4-Graphic representation techniques"                                                          | "is_superconcept_of" | "CV4-1-Basic thematic mapping methods"                                                           |
| "CV4-Graphic representation techniques"                                                          | "is_superconcept_of" | "CV4-4-Representing terrain"                                                                     |
| "CV4-Graphic representation techniques"                                                          | "is_superconcept_of" | "CV4-8-Visualization of temporal geographic data"                                                |
| "CV4-Graphic representation techniques"                                                          | "is_superconcept_of" | "CV4-6-Virtual and immersive environments"                                                       |
| "CV4-Graphic representation techniques"                                                          | "is_superconcept_of" | "CV4-2-Multivariate displays"                                                                    |
| "CV4-Graphic representation techniques"                                                          | "is_subconcept_of"   | "CV-Cartography and Visualization"                                                               |
| "CV5-Map production"                                                                             | "is_superconcept_of" | "CV5-2-Map production"                                                                           |
| "CV5-Map production"                                                                             | "is_superconcept_of" | "CV5-3-Map reproduction"                                                                         |
| "CV5-Map production"                                                                             | "is_superconcept_of" | "CV5-1-Computational issues in cartography and visualization"                                    |
| "CV5-Map production"                                                                             | "is_subconcept_of"   | "CV-Cartography and Visualization"                                                               |
| "CV6-Map use and evaluation"                                                                     | "is_superconcept_of" | "CV6-3-Map interpretation"                                                                       |
| "CV6-Map use and evaluation"                                                                     | "is_superconcept_of" | "CV6-5-Evaluation and testing"                                                                   |
| "CV6-Map use and evaluation"                                                                     | "is_superconcept_of" | "CV6-1-The power of maps"                                                                        |
| "CV6-Map use and evaluation"                                                                     | "is_superconcept_of" | "CV6-4-Map analysis "                                                                            |
| "CV6-Map use and evaluation"                                                                     | "is_superconcept_of" | "CV6-6-Impact of uncertainty"                                                                    |
| "CV6-Map use and evaluation"                                                                     | "is_superconcept_of" | "CV6-2-Map reading"                                                                              |
| "CV6-Map use and evaluation"                                                                     | "is_subconcept_of"   | "CV-Cartography and Visualization"                                                               |
| "DA1-1-Using models to represent information and processes"                                      | "is_subconcept_of"   | "DA1-The scope of GIS and T system design"                                                       |
| "DA1-2-Components of models: data, structures, procedures"                                       | "is_subconcept_of"   | "DA1-The scope of GIS and T system design"                                                       |
| "DA1-3-The scope of GIS and T applications"                                                      | "is_subconcept_of"   | "DA1-The scope of GIS and T system design"                                                       |
| "DA1-4-The scope of GIS and T design"                                                            | "is_subconcept_of"   | "DA1-The scope of GIS and T system design"                                                       |
| "DA1-5-The process of GIS and T design"                                                          | "is_subconcept_of"   | "DA1-The scope of GIS and T system design"                                                       |
| "DA2-1-Problem definition"                                                                       | "is_subconcept_of"   | "DA2-Project definition"                                                                         |
| "DA2-2-Planning for design"                                                                      | "is_subconcept_of"   | "DA2-Project definition"                                                                         |
| "DA2-3-Application/user assessment"                                                              | "is_subconcept_of"   | "DA2-Project definition"                                                                         |
| "DA2-4-Requirements analysis"                                                                    | "is_subconcept_of"   | "DA2-Project definition"                                                                         |
| "DA2-5-Social, political, and cultural issues"                                                   | "is_subconcept_of"   | "DA2-Project definition"                                                                         |
| "DA3-1-Feasibility analysis"                                                                     | "is_subconcept_of"   | "DA3-Resource planning"                                                                          |
| "DA3-2-Software systems"                                                                         | "is_subconcept_of"   | "DA3-Resource planning"                                                                          |
| "DA3-3-Data costs"                                                                               | "is_subconcept_of"   | "DA3-Resource planning"                                                                          |
| "DA3-4-Labor and management"                                                                     | "is_subconcept_of"   | "DA3-Resource planning"                                                                          |
| "DA3-5-Capital: facilities and equipment"                                                        | "is_subconcept_of"   | "DA3-Resource planning"                                                                          |
| "DA3-6-Funding"                                                                                  | "is_subconcept_of"   | "DA3-Resource planning"                                                                          |
| "DA4-1-Modeling tools"                                                                           | "is_subconcept_of"   | "DA4-Database design"                                                                            |
| "DA4-2-Conceptual model"                                                                         | "is_subconcept_of"   | "DA4-Database design"                                                                            |
| "DA4-3-Logical models"                                                                           | "is_subconcept_of"   | "DA4-Database design"                                                                            |
| "DA4-4-Physical models"                                                                          | "is_subconcept_of"   | "DA4-Database design"                                                                            |
| "DA5-1-Recognizing analytical components"                                                        | "is_subconcept_of"   | "DA5-Analysis design"                                                                            |
| "DA5-2-Identifying and designing analytical procedures"                                          | "is_subconcept_of"   | "DA5-Analysis design"                                                                            |
| "DA5-3-Coupling scientific models with GIS"                                                      | "is_subconcept_of"   | "DA5-Analysis design"                                                                            |
| "DA5-4-Formalizing a procedure design"                                                           | "is_subconcept_of"   | "DA5-Analysis design"                                                                            |
| "DA6-1-Workflow analysis and design"                                                             | "is_subconcept_of"   | "DA6-Application design"                                                                         |
| "DA6-2-User interfaces"                                                                          | "is_subconcept_of"   | "DA6-Application design"                                                                         |
| "DA6-3-Development environments for geospatial applications"                                     | "is_subconcept_of"   | "DA6-Application design"                                                                         |
| "DA6-4-Computer-Aided Software Engineering (CASE) tools"                                         | "is_subconcept_of"   | "DA6-Application design"                                                                         |
| "DA7-1-Implementation planning"                                                                  | "is_subconcept_of"   | "DA7-System implementation"                                                                      |
| "DA7-2-Implementation tasks"                                                                     | "is_subconcept_of"   | "DA7-System implementation"                                                                      |
| "DA7-3-System testing"                                                                           | "is_subconcept_of"   | "DA7-System implementation"                                                                      |
| "DA7-4-System deployment"                                                                        | "is_subconcept_of"   | "DA7-System implementation"                                                                      |
| "DA-Design Aspects"                                                                              | "is_superconcept_of" | "DA1-The scope of GIS and T system design"                                                       |
| "DA-Design Aspects"                                                                              | "is_superconcept_of" | "DA2-Project definition"                                                                         |
| "DA-Design Aspects"                                                                              | "is_superconcept_of" | "DA3-Resource planning"                                                                          |
| "DA-Design Aspects"                                                                              | "is_superconcept_of" | "DA4-Database design"                                                                            |
| "DA-Design Aspects"                                                                              | "is_superconcept_of" | "DA5-Analysis design"                                                                            |
| "DA-Design Aspects"                                                                              | "is_superconcept_of" | "DA6-Application design"                                                                         |
| "DA-Design Aspects"                                                                              | "is_superconcept_of" | "DA7-System implementation"                                                                      |
| "DA1-The scope of GIS and T system design"                                                       | "is_superconcept_of" | "DA1-1-Using models to represent information and processes"                                      |
| "DA1-The scope of GIS and T system design"                                                       | "is_superconcept_of" | "DA1-3-The scope of GIS and T applications"                                                      |
| "DA1-The scope of GIS and T system design"                                                       | "is_superconcept_of" | "DA1-5-The process of GIS and T design"                                                          |
| "DA1-The scope of GIS and T system design"                                                       | "is_superconcept_of" | "DA1-4-The scope of GIS and T design"                                                            |
| "DA1-The scope of GIS and T system design"                                                       | "is_superconcept_of" | "DA1-2-Components of models: data, structures, procedures"                                       |
| "DA1-The scope of GIS and T system design"                                                       | "is_subconcept_of"   | "DA-Design Aspects"                                                                              |
| "DA2-Project definition"                                                                         | "is_superconcept_of" | "DA2-2-Planning for design"                                                                      |
| "DA2-Project definition"                                                                         | "is_superconcept_of" | "DA2-1-Problem definition"                                                                       |
| "DA2-Project definition"                                                                         | "is_superconcept_of" | "DA2-3-Application/user assessment"                                                              |
| "DA2-Project definition"                                                                         | "is_superconcept_of" | "DA2-5-Social, political, and cultural issues"                                                   |
| "DA2-Project definition"                                                                         | "is_superconcept_of" | "DA2-4-Requirements analysis"                                                                    |
| "DA2-Project definition"                                                                         | "is_subconcept_of"   | "DA-Design Aspects"                                                                              |
| "DA3-Resource planning"                                                                          | "is_superconcept_of" | "DA3-4-Labor and management"                                                                     |
| "DA3-Resource planning"                                                                          | "is_superconcept_of" | "DA3-2-Software systems"                                                                         |
| "DA3-Resource planning"                                                                          | "is_superconcept_of" | "DA3-6-Funding"                                                                                  |
| "DA3-Resource planning"                                                                          | "is_superconcept_of" | "DA3-1-Feasibility analysis"                                                                     |
| "DA3-Resource planning"                                                                          | "is_superconcept_of" | "DA3-3-Data costs"                                                                               |
| "DA3-Resource planning"                                                                          | "is_superconcept_of" | "DA3-5-Capital: facilities and equipment"                                                        |
| "DA3-Resource planning"                                                                          | "is_subconcept_of"   | "DA-Design Aspects"                                                                              |
| "DA4-Database design"                                                                            | "is_superconcept_of" | "DA4-2-Conceptual model"                                                                         |
| "DA4-Database design"                                                                            | "is_superconcept_of" | "DA4-4-Physical models"                                                                          |
| "DA4-Database design"                                                                            | "is_superconcept_of" | "DA4-1-Modeling tools"                                                                           |
| "DA4-Database design"                                                                            | "is_superconcept_of" | "DA4-3-Logical models"                                                                           |
| "DA4-Database design"                                                                            | "is_subconcept_of"   | "DA-Design Aspects"                                                                              |
| "DA5-Analysis design"                                                                            | "is_superconcept_of" | "DA5-1-Recognizing analytical components"                                                        |
| "DA5-Analysis design"                                                                            | "is_superconcept_of" | "DA5-3-Coupling scientific models with GIS"                                                      |
| "DA5-Analysis design"                                                                            | "is_superconcept_of" | "DA5-4-Formalizing a procedure design"                                                           |
| "DA5-Analysis design"                                                                            | "is_superconcept_of" | "DA5-2-Identifying and designing analytical procedures"                                          |
| "DA5-Analysis design"                                                                            | "is_subconcept_of"   | "DA-Design Aspects"                                                                              |
| "DA6-Application design"                                                                         | "is_superconcept_of" | "DA6-3-Development environments for geospatial applications"                                     |
| "DA6-Application design"                                                                         | "is_superconcept_of" | "DA6-1-Workflow analysis and design"                                                             |
| "DA6-Application design"                                                                         | "is_superconcept_of" | "DA6-4-Computer-Aided Software Engineering (CASE) tools"                                         |
| "DA6-Application design"                                                                         | "is_superconcept_of" | "DA6-2-User interfaces"                                                                          |
| "DA6-Application design"                                                                         | "is_subconcept_of"   | "DA-Design Aspects"                                                                              |
| "DA7-System implementation"                                                                      | "is_superconcept_of" | "DA7-1-Implementation planning"                                                                  |
| "DA7-System implementation"                                                                      | "is_superconcept_of" | "DA7-2-Implementation tasks"                                                                     |
| "DA7-System implementation"                                                                      | "is_superconcept_of" | "DA7-3-System testing"                                                                           |
| "DA7-System implementation"                                                                      | "is_superconcept_of" | "DA7-4-System deployment"                                                                        |
| "DA7-System implementation"                                                                      | "is_subconcept_of"   | "DA-Design Aspects"                                                                              |
| "DM1-1-Basic data structures"                                                                    | "is_subconcept_of"   | "DM1-Basic storage and retrieval structures"                                                     |
| "DM1-2-Data retrieval strategies"                                                                | "is_subconcept_of"   | "DM1-Basic storage and retrieval structures"                                                     |
| "DM2-1-Coevolution of DBMS and GIS"                                                              | "is_subconcept_of"   | "DM2-Database management systems"                                                                |
| "DM2-2-Relational DBMS"                                                                          | "is_subconcept_of"   | "DM2-Database management systems"                                                                |
| "DM2-3-Object-oriented DBMS"                                                                     | "is_subconcept_of"   | "DM2-Database management systems"                                                                |
| "DM2-4-Extensions of the relational model"                                                       | "is_subconcept_of"   | "DM2-Database management systems"                                                                |
| "DM3-1-Grid representations"                                                                     | "is_subconcept_of"   | "DM3-Tessellation data models"                                                                   |
| "DM3-2-The raster model"                                                                         | "is_subconcept_of"   | "DM3-Tessellation data models"                                                                   |
| "DM3-3-Grid compression methods"                                                                 | "is_subconcept_of"   | "DM3-Tessellation data models"                                                                   |
| "DM3-4-The hexagonal model"                                                                      | "is_subconcept_of"   | "DM3-Tessellation data models"                                                                   |
| "DM3-5-The Triangulated Irregular Network (TIN) model"                                           | "is_subconcept_of"   | "DM3-Tessellation data models"                                                                   |
| "DM3-6-Resolution"                                                                               | "is_subconcept_of"   | "DM3-Tessellation data models"                                                                   |
| "DM3-7-Hierarchical data models"                                                                 | "is_subconcept_of"   | "DM3-Tessellation data models"                                                                   |
| "DM4-1-Geometric primitives"                                                                     | "is_subconcept_of"   | "DM4-Vector and object data models"                                                              |
| "DM4-2-The spaghetti model"                                                                      | "is_subconcept_of"   | "DM4-Vector and object data models"                                                              |
| "DM4-3-The topological model"                                                                    | "is_subconcept_of"   | "DM4-Vector and object data models"                                                              |
| "DM4-4-Classic vector data models"                                                               | "is_subconcept_of"   | "DM4-Vector and object data models"                                                              |
| "DM4-5-The network model"                                                                        | "is_subconcept_of"   | "DM4-Vector and object data models"                                                              |
| "DM4-6-Linear referencing"                                                                       | "is_subconcept_of"   | "DM4-Vector and object data models"                                                              |
| "DM4-7-Object-based spatial databases"                                                           | "is_subconcept_of"   | "DM4-Vector and object data models"                                                              |
| "DM5-1-Spatio-temporal GIS"                                                                      | "is_subconcept_of"   | "DM5-Modeling 3D, temporal and uncertain phenomena"                                              |
| "DM5-2-Modeling uncertainty"                                                                     | "is_subconcept_of"   | "DM5-Modeling 3D, temporal and uncertain phenomena"                                              |
| "DM5-3-Modeling three-dimensional (3D) entities"                                                 | "is_subconcept_of"   | "DM5-Modeling 3D, temporal and uncertain phenomena"                                              |
| "DM-Data Modeling"                                                                               | "is_superconcept_of" | "DM1-Basic storage and retrieval structures"                                                     |
| "DM-Data Modeling"                                                                               | "is_superconcept_of" | "DM2-Database management systems"                                                                |
| "DM-Data Modeling"                                                                               | "is_superconcept_of" | "DM3-Tessellation data models"                                                                   |
| "DM-Data Modeling"                                                                               | "is_superconcept_of" | "DM4-Vector and object data models"                                                              |
| "DM-Data Modeling"                                                                               | "is_superconcept_of" | "DM5-Modeling 3D, temporal and uncertain phenomena"                                              |
| "DM1-Basic storage and retrieval structures"                                                     | "is_superconcept_of" | "DM1-1-Basic data structures"                                                                    |
| "DM1-Basic storage and retrieval structures"                                                     | "is_superconcept_of" | "DM1-2-Data retrieval strategies"                                                                |
| "DM1-Basic storage and retrieval structures"                                                     | "is_subconcept_of"   | "DM-Data Modeling"                                                                               |
| "DM2-Database management systems"                                                                | "is_superconcept_of" | "DM2-1-Coevolution of DBMS and GIS"                                                              |
| "DM2-Database management systems"                                                                | "is_superconcept_of" | "DM2-2-Relational DBMS"                                                                          |
| "DM2-Database management systems"                                                                | "is_superconcept_of" | "DM2-3-Object-oriented DBMS"                                                                     |
| "DM2-Database management systems"                                                                | "is_superconcept_of" | "DM2-4-Extensions of the relational model"                                                       |
| "DM2-Database management systems"                                                                | "is_subconcept_of"   | "DM-Data Modeling"                                                                               |
| "DM3-Tessellation data models"                                                                   | "is_superconcept_of" | "DM3-1-Grid representations"                                                                     |
| "DM3-Tessellation data models"                                                                   | "is_superconcept_of" | "DM3-2-The raster model"                                                                         |
| "DM3-Tessellation data models"                                                                   | "is_superconcept_of" | "DM3-3-Grid compression methods"                                                                 |
| "DM3-Tessellation data models"                                                                   | "is_superconcept_of" | "DM3-4-The hexagonal model"                                                                      |
| "DM3-Tessellation data models"                                                                   | "is_superconcept_of" | "DM3-5-The Triangulated Irregular Network (TIN) model"                                           |
| "DM3-Tessellation data models"                                                                   | "is_superconcept_of" | "DM3-6-Resolution"                                                                               |
| "DM3-Tessellation data models"                                                                   | "is_superconcept_of" | "DM3-7-Hierarchical data models"                                                                 |
